Date,City,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),Weather Condition,Recommended Crop
2017-02-23,Chandigarh,28.3,42,272.3,7.9,Cloudy,Jute
2019-11-14,Bhopal,10.9,70,247.7,11.0,Rainy,Watermelon
2019-08-14,Coimbatore,25.2,60,92.1,16.9,Sunny,Watermelon
2020-06-03,Lucknow,23.9,94,175.1,42.5,Rainy,Watermelon
2018-03-13,Nagpur,42.9,76,0.0,14.5,Sunny,Bitter Gourd
2017-08-12,Delhi,40.8,37,4.4,3.3,Stormy,Pumpkin
2017-01-15,Delhi,41.1,80,0.0,21.0,Hazy,Pumpkin
2018-11-06,Coimbatore,23.8,69,0.0,8.5,Stormy,Watermelon
2018-12-09,Patna,21.5,25,0.0,8.9,Stormy,Pumpkin
2017-06-14,Jaipur,13.1,93,0.0,33.5,Stormy,Wheat
2016-06-18,Chennai,26.3,73,0.0,32.9,Hazy,Watermelon
2021-12-22,Coimbatore,17.8,29,0.0,5.6,Rainy,Barley
2022-02-16,Nagpur,33.9,25,0.0,30.4,Rainy,Pumpkin
2019-04-04,Visakhapatnam,26.8,45,36.9,6.2,Drizzle,Bitter Gourd
2019-06-21,Nagpur,36.7,79,0.0,38.4,Stormy,Cucumber
2022-11-09,Indore,20.7,32,92.5,24.3,Sunny,Watermelon
2024-03-28,Visakhapatnam,21.1,21,291.3,43.1,Foggy,Bitter Gourd
2022-01-22,Bangalore,31.6,84,243.6,6.5,Drizzle,Soybean
2024-12-14,Chennai,13.5,40,184.2,9.3,Drizzle,Pumpkin
2022-06-27,Mumbai,44.6,68,0.0,27.4,Cloudy,Bitter Gourd
2018-05-20,Bangalore,19.6,70,0.0,5.9,Drizzle,Mustard
2020-10-26,Ahmedabad,34.0,88,0.0,35.6,Sunny,Muskmelon
2024-09-21,Visakhapatnam,44.2,53,0.0,14.0,Sunny,Cucumber
2020-10-15,Hyderabad,34.7,93,0.0,3.0,Rainy,Bitter Gourd
2021-11-04,Pune,35.6,61,218.4,30.0,Hazy,Jute
2021-09-06,Visakhapatnam,32.9,22,0.0,3.3,Cloudy,Watermelon
2019-12-17,Chandigarh,40.2,88,85.8,25.1,Sunny,Cucumber
2015-04-07,Ahmedabad,34.9,31,0.0,21.0,Stormy,Cucumber
2020-03-14,Bangalore,29.9,42,0.0,27.5,Sunny,Muskmelon
2017-07-12,Ahmedabad,39.1,57,0.0,13.4,Cloudy,Watermelon
2023-06-29,Ahmedabad,12.3,48,242.5,0.6,Sunny,Cucumber
2020-08-28,Bangalore,13.6,32,0.0,28.3,Rainy,Peas
2021-02-25,Bangalore,14.2,52,0.0,45.1,Sunny,Mustard
2015-01-07,Delhi,34.2,91,0.0,18.0,Foggy,Watermelon
2018-01-21,Jaipur,26.1,70,280.7,30.2,Hazy,Jute
2023-08-26,Bangalore,40.4,39,0.0,40.0,Drizzle,Watermelon
2019-03-26,Kochi,18.1,92,0.0,33.8,Hazy,Barley
2024-09-14,Mumbai,17.4,37,68.7,11.0,Foggy,Pumpkin
2015-04-27,Coimbatore,19.7,46,0.0,32.0,Rainy,Peas
2020-06-27,Kochi,34.2,31,0.0,16.1,Drizzle,Watermelon
2019-05-18,Hyderabad,25.0,63,0.0,3.5,Cloudy,Bitter Gourd
2019-01-05,Bhopal,22.0,44,0.0,28.3,Hazy,Pumpkin
2020-11-15,Bhopal,14.6,45,105.6,13.6,Cloudy,Watermelon
2016-10-20,Kochi,20.4,36,0.0,0.6,Rainy,Bitter Gourd
2017-02-02,Mumbai,26.9,22,0.0,9.3,Sunny,Muskmelon
2024-11-03,Visakhapatnam,30.6,91,0.0,25.3,Hazy,Pumpkin
2023-04-05,Kochi,19.5,82,0.0,47.5,Drizzle,Gram
2019-06-08,Nagpur,20.8,61,110.4,6.7,Stormy,Cucumber
2023-08-02,Pune,43.6,82,0.0,47.5,Foggy,Muskmelon
2019-07-27,Kochi,18.5,51,134.0,30.8,Stormy,Muskmelon
2024-08-24,Patna,26.6,55,0.0,22.0,Hazy,Pumpkin
2018-04-05,Indore,24.0,86,245.4,40.7,Stormy,Muskmelon
2015-09-24,Ahmedabad,31.6,62,0.0,5.0,Hazy,Muskmelon
2022-05-09,Visakhapatnam,18.5,65,0.0,40.7,Stormy,Wheat
2018-01-04,Ahmedabad,40.7,54,104.4,6.8,Hazy,Maize
2021-05-28,Chennai,41.2,79,0.0,41.2,Cloudy,Bitter Gourd
2023-01-06,Visakhapatnam,29.1,89,140.8,7.0,Foggy,Cotton
2019-06-10,Chennai,24.1,52,103.3,49.3,Cloudy,Muskmelon
2016-05-27,Chennai,31.9,90,0.0,39.4,Sunny,Cucumber
2015-05-16,Patna,15.4,67,0.0,47.2,Sunny,Mustard
2021-09-10,Visakhapatnam,41.6,62,179.0,36.7,Stormy,Pigeon Pea
2024-10-20,Patna,35.5,88,0.0,4.7,Sunny,Watermelon
2018-01-11,Delhi,14.7,34,0.0,40.7,Foggy,Mustard
2016-12-11,Coimbatore,23.0,70,0.0,10.4,Cloudy,Cucumber
2024-09-04,Kolkata,13.9,65,46.4,6.4,Sunny,Lentils
2019-08-02,Hyderabad,22.2,98,0.0,23.2,Rainy,Muskmelon
2021-09-27,Jaipur,37.0,76,0.0,30.0,Drizzle,Pumpkin
2015-05-30,Ahmedabad,24.9,87,13.9,26.4,Foggy,Bitter Gourd
2019-08-29,Delhi,31.6,34,270.7,33.7,Rainy,Maize
2022-06-16,Chennai,20.9,80,0.0,22.5,Stormy,Cucumber
2017-02-23,Coimbatore,36.2,74,71.5,0.7,Cloudy,Watermelon
2018-06-23,Hyderabad,30.2,77,101.9,9.2,Drizzle,Soybean
2024-08-03,Hyderabad,18.0,38,0.0,43.9,Rainy,Wheat
2019-04-19,Indore,25.2,37,0.0,29.0,Hazy,Pumpkin
2020-01-03,Ahmedabad,33.6,91,0.0,20.9,Drizzle,Watermelon
2024-05-26,Chandigarh,29.2,50,79.1,13.3,Stormy,Bitter Gourd
2016-11-04,Hyderabad,44.7,42,0.0,28.6,Sunny,Bitter Gourd
2021-01-06,Delhi,19.1,53,93.8,16.4,Rainy,Watermelon
2016-06-22,Bhopal,22.4,39,0.0,28.6,Stormy,Pumpkin
2016-05-16,Jaipur,19.8,53,0.0,26.3,Drizzle,Barley
2023-07-08,Coimbatore,12.0,75,0.0,20.8,Foggy,Barley
2022-06-24,Coimbatore,10.2,82,0.0,39.0,Foggy,Peas
2016-04-12,Nagpur,15.9,20,5.8,11.0,Cloudy,Mustard
2024-01-07,Indore,28.3,83,0.0,14.1,Rainy,Muskmelon
2024-12-17,Bangalore,29.0,84,0.0,21.4,Foggy,Bitter Gourd
2016-07-17,Bangalore,42.5,99,43.0,25.2,Stormy,Watermelon
2018-09-15,Indore,34.7,60,30.4,11.4,Drizzle,Pumpkin
2024-12-27,Kolkata,34.4,47,26.9,16.5,Drizzle,Watermelon
2023-07-11,Mumbai,15.2,30,47.2,45.3,Foggy,Gram
2015-04-12,Coimbatore,38.6,85,175.4,42.1,Rainy,Soybean
2024-06-26,Pune,35.7,43,0.0,0.5,Stormy,Watermelon
2018-12-27,Hyderabad,38.6,82,0.0,34.3,Hazy,Bitter Gourd
2015-05-19,Hyderabad,42.9,59,0.0,3.5,Rainy,Bitter Gourd
2018-08-24,Kolkata,10.6,75,0.0,46.4,Hazy,Peas
2017-12-11,Chandigarh,22.9,81,0.0,24.3,Foggy,Pumpkin
2017-12-20,Mumbai,45.0,92,12.0,26.4,Stormy,Muskmelon
2022-09-24,Delhi,37.0,29,77.1,42.3,Rainy,Cucumber
2023-10-09,Mumbai,35.6,92,263.3,46.6,Hazy,Pigeon Pea
2024-06-25,Jaipur,12.4,87,0.0,21.7,Hazy,Wheat
2019-06-30,Jaipur,13.6,64,0.0,34.6,Drizzle,Barley
2018-02-19,Lucknow,17.3,27,151.5,47.2,Foggy,Pumpkin
2023-04-26,Bhopal,37.6,52,0.0,44.6,Rainy,Bitter Gourd
2017-03-06,Coimbatore,34.3,37,0.0,44.7,Foggy,Muskmelon
2016-11-07,Chennai,10.0,85,129.9,29.8,Hazy,Watermelon
2017-07-02,Kolkata,30.3,21,137.2,3.6,Rainy,Millets
2020-05-12,Patna,42.2,91,77.0,0.3,Hazy,Cucumber
2017-12-05,Mumbai,11.0,23,0.0,32.5,Hazy,Barley
2017-08-07,Delhi,32.7,44,92.1,34.7,Hazy,Pumpkin
2024-10-30,Jaipur,16.3,81,159.8,5.4,Sunny,Bitter Gourd
2022-10-16,Patna,39.9,89,0.0,18.6,Cloudy,Bitter Gourd
2020-05-16,Bangalore,19.1,52,51.3,42.3,Cloudy,Watermelon
2020-08-12,Hyderabad,38.7,42,0.0,41.1,Drizzle,Muskmelon
2020-03-18,Patna,29.6,50,260.3,3.4,Cloudy,Pigeon Pea
2015-09-05,Visakhapatnam,21.2,55,0.0,42.4,Sunny,Pumpkin
2017-07-24,Bangalore,36.9,70,62.7,45.8,Rainy,Watermelon
2019-11-08,Visakhapatnam,40.8,95,45.4,42.2,Hazy,Bitter Gourd
2019-02-10,Indore,12.9,49,286.0,4.8,Stormy,Bitter Gourd
2023-07-09,Delhi,22.8,31,0.0,0.2,Cloudy,Pumpkin
2021-08-03,Kolkata,37.6,26,0.0,32.5,Foggy,Watermelon
2024-02-15,Indore,35.6,37,0.0,31.1,Cloudy,Watermelon
2022-04-15,Mumbai,18.6,33,0.0,40.8,Rainy,Mustard
2018-07-31,Patna,16.5,93,0.0,30.7,Stormy,Lentils
2024-11-24,Chandigarh,41.8,43,0.0,45.9,Rainy,Bitter Gourd
2015-07-31,Kolkata,13.5,93,0.0,4.9,Hazy,Gram
2024-02-26,Pune,16.1,27,0.0,24.5,Hazy,Peas
2020-05-29,Bangalore,23.6,89,0.0,32.9,Hazy,Watermelon
2015-10-07,Coimbatore,38.5,90,0.0,41.5,Rainy,Watermelon
2015-07-10,Delhi,36.6,37,0.0,43.9,Drizzle,Watermelon
2018-01-06,Lucknow,11.9,24,0.0,21.3,Sunny,Barley
2018-10-30,Lucknow,13.7,56,0.0,44.9,Stormy,Lentils
2021-10-09,Hyderabad,20.1,46,279.1,43.5,Sunny,Cucumber
2019-03-31,Ahmedabad,20.1,48,0.0,13.6,Drizzle,Bitter Gourd
2023-09-23,Visakhapatnam,29.1,73,0.0,13.2,Hazy,Muskmelon
2019-03-16,Delhi,35.8,71,0.0,16.2,Stormy,Bitter Gourd
2022-08-25,Mumbai,13.0,47,0.0,8.3,Drizzle,Wheat
2022-11-15,Nagpur,25.2,70,0.0,3.7,Drizzle,Muskmelon
2021-08-08,Chennai,31.2,79,29.6,21.6,Stormy,Watermelon
2024-02-13,Nagpur,41.9,95,0.0,46.3,Stormy,Watermelon
2021-12-22,Kochi,22.7,49,0.0,42.1,Stormy,Bitter Gourd
2015-10-25,Bangalore,40.8,67,0.0,46.9,Foggy,Pumpkin
2023-07-12,Ahmedabad,22.2,21,0.0,45.5,Cloudy,Cucumber
2023-09-08,Visakhapatnam,11.4,68,0.0,36.3,Drizzle,Wheat
2022-08-30,Chennai,24.8,76,0.0,13.5,Cloudy,Cucumber
2021-12-24,Chandigarh,28.6,70,232.0,18.4,Cloudy,Cotton
2020-01-03,Kolkata,26.6,62,0.0,31.6,Stormy,Cucumber
2022-09-24,Kolkata,43.4,45,0.0,46.3,Stormy,Watermelon
2020-01-02,Delhi,28.9,52,44.6,26.9,Hazy,Pumpkin
2023-03-31,Mumbai,35.6,43,0.0,43.0,Foggy,Pumpkin
2018-02-25,Kochi,20.1,33,0.0,22.7,Cloudy,Watermelon
2019-08-28,Visakhapatnam,29.0,65,0.0,48.8,Hazy,Watermelon
2021-12-03,Bangalore,39.3,88,61.7,20.3,Foggy,Watermelon
2022-08-21,Ahmedabad,44.2,59,0.0,17.6,Hazy,Cucumber
2020-06-23,Coimbatore,41.1,60,129.7,20.4,Cloudy,Soybean
2022-06-02,Delhi,38.8,66,210.3,37.6,Hazy,Jute
2015-07-15,Mumbai,32.3,66,282.4,33.6,Cloudy,Millets
2019-12-27,Mumbai,43.5,38,0.0,30.6,Foggy,Pumpkin
2024-03-02,Bhopal,30.8,93,0.0,43.4,Stormy,Pumpkin
2017-04-20,Kolkata,27.8,20,0.0,27.2,Cloudy,Muskmelon
2019-06-12,Patna,38.2,50,0.0,0.5,Rainy,Watermelon
2020-02-16,Mumbai,10.4,59,0.0,19.7,Stormy,Wheat
2016-04-14,Chennai,23.0,80,0.0,32.6,Rainy,Pumpkin
2024-05-14,Delhi,15.8,22,0.0,12.7,Foggy,Gram
2018-05-06,Pune,31.8,31,0.0,13.9,Hazy,Bitter Gourd
2023-01-04,Indore,44.1,29,0.0,16.8,Rainy,Cucumber
2017-08-29,Visakhapatnam,27.9,60,0.0,7.5,Hazy,Bitter Gourd
2017-09-09,Kochi,14.9,29,0.0,40.6,Drizzle,Lentils
2022-02-03,Coimbatore,14.1,26,0.0,17.2,Drizzle,Wheat
2021-05-07,Delhi,32.8,88,0.0,26.1,Cloudy,Bitter Gourd
2023-11-17,Chandigarh,32.5,23,215.8,7.0,Sunny,Cotton
2023-03-28,Delhi,26.0,77,205.0,20.2,Stormy,Rice
2021-10-06,Hyderabad,22.5,55,274.2,8.8,Hazy,Bitter Gourd
2019-08-21,Indore,24.4,69,0.0,25.3,Foggy,Muskmelon
2018-07-20,Chennai,37.2,39,9.7,19.7,Sunny,Cucumber
2020-09-06,Nagpur,36.5,32,61.3,38.7,Sunny,Cucumber
2024-09-07,Chennai,19.0,73,0.0,29.8,Stormy,Lentils
2016-01-05,Chennai,21.0,33,0.0,12.9,Stormy,Muskmelon
2017-05-22,Jaipur,36.3,89,0.0,23.9,Foggy,Cucumber
2023-03-02,Pune,30.3,96,0.0,37.5,Drizzle,Cucumber
2021-02-14,Pune,25.4,36,0.0,2.3,Stormy,Bitter Gourd
2021-10-08,Nagpur,10.6,73,0.0,31.7,Hazy,Wheat
2023-06-03,Kochi,23.3,29,276.5,5.4,Sunny,Bitter Gourd
2024-10-29,Indore,11.0,66,0.0,34.3,Drizzle,Lentils
2024-01-25,Indore,22.8,98,0.0,27.4,Stormy,Muskmelon
2015-09-05,Mumbai,28.0,26,21.9,18.6,Drizzle,Pumpkin
2016-05-24,Kolkata,32.1,50,0.0,47.6,Sunny,Muskmelon
2020-04-05,Chandigarh,34.2,42,0.0,21.2,Cloudy,Pumpkin
2016-12-24,Mumbai,11.5,41,0.0,23.4,Sunny,Barley
2019-05-25,Coimbatore,41.5,46,0.0,30.5,Drizzle,Bitter Gourd
2015-03-06,Chandigarh,23.0,25,0.0,44.3,Drizzle,Muskmelon
2021-10-19,Bangalore,35.0,22,0.0,49.5,Sunny,Bitter Gourd
2024-11-26,Ahmedabad,43.9,28,287.8,41.8,Foggy,Groundnut
2015-07-08,Visakhapatnam,14.7,59,0.0,14.1,Rainy,Wheat
2016-07-22,Kochi,28.6,95,0.0,35.3,Hazy,Cucumber
2023-03-22,Bhopal,24.5,77,21.2,11.9,Cloudy,Muskmelon
2020-06-06,Kolkata,14.2,76,0.0,15.9,Hazy,Mustard
2023-07-24,Jaipur,13.1,67,0.0,26.8,Sunny,Mustard
2019-06-09,Ahmedabad,18.5,77,37.0,18.5,Hazy,Gram
2020-09-16,Visakhapatnam,22.3,45,35.5,33.3,Drizzle,Bitter Gourd
2020-05-08,Patna,14.8,58,0.0,32.4,Sunny,Wheat
2022-12-15,Delhi,12.8,60,0.0,0.9,Hazy,Gram
2019-07-19,Mumbai,31.0,77,0.0,34.2,Cloudy,Muskmelon
2022-01-09,Nagpur,44.9,58,231.4,1.1,Drizzle,Millets
2018-05-26,Jaipur,12.7,56,294.7,20.3,Hazy,Cucumber
2016-10-17,Coimbatore,18.1,75,0.0,49.3,Drizzle,Gram
2016-02-28,Coimbatore,10.9,21,0.0,1.3,Hazy,Peas
2023-04-24,Kolkata,22.9,55,0.0,45.0,Sunny,Bitter Gourd
2023-05-05,Ahmedabad,15.5,26,0.0,31.9,Hazy,Gram
2021-04-30,Chennai,40.1,32,65.1,21.7,Sunny,Muskmelon
2022-02-01,Delhi,36.4,46,0.0,34.9,Drizzle,Bitter Gourd
2018-09-20,Mumbai,13.2,28,33.6,12.9,Cloudy,Barley
2016-08-17,Lucknow,28.3,80,0.0,2.7,Drizzle,Bitter Gourd
2023-05-24,Mumbai,29.8,38,0.0,24.0,Sunny,Muskmelon
2015-07-18,Kolkata,11.4,39,0.0,41.4,Sunny,Lentils
2018-12-03,Bangalore,23.3,100,80.5,18.9,Hazy,Cucumber
2021-08-11,Mumbai,20.3,76,58.0,5.0,Foggy,Watermelon
2024-06-22,Lucknow,40.6,50,166.5,32.6,Drizzle,Maize
2019-09-21,Lucknow,12.5,48,234.4,0.2,Sunny,Bitter Gourd
2015-08-11,Chennai,26.3,83,172.8,5.2,Hazy,Cotton
2015-01-19,Nagpur,12.7,69,0.0,45.7,Stormy,Gram
2015-09-13,Indore,29.3,84,0.0,24.9,Cloudy,Pumpkin
2020-10-19,Bhopal,30.8,23,0.0,47.7,Stormy,Bitter Gourd
2019-05-07,Jaipur,21.0,61,9.6,12.7,Hazy,Pumpkin
2015-07-10,Delhi,37.4,57,0.0,9.8,Drizzle,Bitter Gourd
2022-05-27,Hyderabad,18.6,55,0.0,4.0,Stormy,Peas
2023-10-03,Ahmedabad,36.0,26,0.0,24.9,Drizzle,Cucumber
2024-11-09,Bhopal,44.8,84,0.0,43.2,Foggy,Bitter Gourd
2016-12-17,Mumbai,44.9,65,0.0,4.9,Rainy,Cucumber
2016-05-06,Coimbatore,35.0,77,222.3,24.5,Sunny,Millets
2022-10-08,Visakhapatnam,27.2,30,0.0,21.1,Hazy,Cucumber
2020-02-01,Pune,20.2,50,0.0,42.0,Stormy,Pumpkin
2020-04-16,Visakhapatnam,10.9,22,94.4,8.9,Foggy,Cucumber
2021-07-02,Kochi,20.3,50,28.0,15.1,Stormy,Bitter Gourd
2021-12-20,Ahmedabad,28.5,37,0.0,36.3,Drizzle,Watermelon
2019-11-26,Hyderabad,10.8,38,0.0,5.7,Rainy,Peas
2021-04-11,Bangalore,18.3,70,0.0,44.9,Drizzle,Wheat
2016-07-13,Ahmedabad,16.5,66,251.4,19.9,Cloudy,Pumpkin
2024-03-09,Mumbai,20.8,81,0.0,45.5,Cloudy,Watermelon
2020-08-17,Pune,11.6,71,0.0,50.0,Stormy,Barley
2015-12-11,Kolkata,27.4,77,0.0,1.6,Drizzle,Bitter Gourd
2021-11-21,Lucknow,42.7,98,0.0,26.6,Foggy,Muskmelon
2016-01-24,Kochi,42.8,56,0.0,13.5,Drizzle,Cucumber
2024-11-16,Indore,11.8,52,0.0,14.7,Sunny,Peas
2018-02-11,Indore,44.4,37,0.0,6.0,Cloudy,Bitter Gourd
2015-09-10,Kolkata,21.9,92,0.0,46.5,Rainy,Cucumber
2023-01-21,Patna,24.6,91,0.0,31.8,Cloudy,Watermelon
2019-08-14,Mumbai,11.2,72,0.0,44.1,Hazy,Gram
2016-11-01,Delhi,39.0,74,0.0,26.8,Hazy,Bitter Gourd
2023-05-01,Coimbatore,15.5,86,0.0,21.0,Cloudy,Barley
2021-01-15,Delhi,17.2,46,0.0,17.1,Sunny,Wheat
2021-01-27,Chandigarh,10.4,38,153.5,33.9,Cloudy,Muskmelon
2017-07-19,Bhopal,39.4,61,35.5,7.3,Rainy,Cucumber
2020-05-19,Ahmedabad,34.2,31,0.0,28.9,Stormy,Cucumber
2023-03-09,Patna,25.6,68,0.0,4.0,Foggy,Pumpkin
2016-10-28,Bangalore,14.2,90,0.0,11.4,Cloudy,Mustard
2019-10-29,Visakhapatnam,33.7,76,188.2,8.3,Sunny,Pigeon Pea
2018-03-15,Bhopal,28.3,78,0.0,4.4,Sunny,Watermelon
2020-10-01,Chennai,15.7,66,0.0,8.1,Hazy,Mustard
2018-04-08,Mumbai,23.8,57,0.0,8.8,Hazy,Bitter Gourd
2019-06-02,Ahmedabad,24.8,60,0.0,49.5,Foggy,Cucumber
2023-05-04,Jaipur,36.2,66,0.0,10.5,Rainy,Bitter Gourd
2018-09-23,Bangalore,10.8,28,0.0,40.4,Cloudy,Barley
2022-12-09,Patna,36.7,78,0.0,0.1,Rainy,Muskmelon
2023-12-19,Chandigarh,17.2,26,0.0,37.9,Sunny,Lentils
2022-05-24,Nagpur,22.9,29,173.0,8.9,Drizzle,Cucumber
2020-07-05,Pune,43.7,23,0.0,43.1,Rainy,Bitter Gourd
2019-01-18,Coimbatore,40.5,37,0.0,12.9,Sunny,Muskmelon
2021-01-17,Indore,29.0,84,0.0,0.7,Hazy,Bitter Gourd
2015-09-06,Indore,26.2,77,0.0,34.2,Sunny,Pumpkin
2015-02-14,Bhopal,44.7,83,0.0,16.8,Cloudy,Watermelon
2022-01-30,Lucknow,43.7,96,180.7,34.2,Stormy,Groundnut
2023-11-09,Kochi,15.0,56,0.0,36.0,Stormy,Wheat
2019-10-21,Pune,32.8,43,0.0,16.7,Stormy,Muskmelon
2017-04-27,Kolkata,38.7,59,37.5,33.8,Foggy,Muskmelon
2020-03-11,Indore,20.2,100,0.0,23.8,Stormy,Muskmelon
2016-12-29,Bangalore,22.9,77,0.0,37.1,Rainy,Bitter Gourd
2022-08-02,Kolkata,19.0,82,242.7,0.6,Cloudy,Pumpkin
2021-06-18,Kochi,39.6,24,0.0,44.3,Cloudy,Bitter Gourd
2016-11-11,Hyderabad,22.8,78,66.3,35.0,Hazy,Bitter Gourd
2015-02-05,Visakhapatnam,33.3,49,0.0,14.5,Foggy,Watermelon
2016-10-13,Chandigarh,44.1,22,281.1,17.2,Sunny,Cotton
2018-12-13,Lucknow,23.9,72,25.5,33.9,Hazy,Cucumber
2018-02-03,Patna,40.7,50,0.0,41.0,Rainy,Watermelon
2015-02-19,Patna,33.9,78,0.0,0.7,Sunny,Watermelon
2024-01-28,Hyderabad,17.2,23,0.0,40.1,Sunny,Gram
2021-02-10,Lucknow,14.9,31,0.0,43.0,Drizzle,Wheat
2017-02-21,Coimbatore,18.7,92,0.0,46.4,Drizzle,Barley
2021-01-24,Visakhapatnam,20.3,64,0.0,15.9,Hazy,Pumpkin
2020-05-06,Delhi,27.3,59,0.0,39.6,Foggy,Pumpkin
2018-06-06,Chandigarh,23.8,28,0.0,43.2,Sunny,Pumpkin
2019-12-15,Chandigarh,13.0,76,158.1,26.9,Foggy,Watermelon
2018-11-03,Chennai,23.8,44,0.0,11.7,Foggy,Muskmelon
2020-10-26,Kolkata,32.7,44,0.0,19.6,Drizzle,Bitter Gourd
2015-07-19,Indore,23.9,86,212.6,37.6,Cloudy,Watermelon
2015-12-06,Chandigarh,26.0,59,0.0,30.6,Foggy,Bitter Gourd
2022-12-01,Bhopal,37.7,82,27.2,21.0,Stormy,Bitter Gourd
2019-01-06,Indore,24.4,82,179.8,15.1,Sunny,Cucumber
2019-02-04,Patna,21.5,75,1.4,12.1,Sunny,Muskmelon
2023-08-12,Kochi,15.1,26,0.0,24.7,Stormy,Wheat
2020-08-12,Visakhapatnam,41.3,82,0.0,34.5,Cloudy,Bitter Gourd
2022-04-18,Patna,13.0,61,0.0,28.1,Hazy,Peas
2021-05-26,Indore,34.7,40,0.0,27.7,Sunny,Watermelon
2016-01-02,Chandigarh,35.4,60,0.0,25.3,Sunny,Cucumber
